Time Difference,user.screen_name
0 days 00:07:26.000000000,247LovingLife
0 days 00:07:27.000000000,Eigenmetric
0 days 00:07:23.000000000,Women_4_TRUMP
0 days 00:07:28.000000000,November_8_2016
0 days 00:07:32.000000000,gautenerife
0 days 00:07:36.000000000,rdick2475
0 days 00:07:40.000000000,spectaa
0 days 00:07:40.000000000,mhocker10
0 days 00:07:41.000000000,devinchic777
0 days 00:07:43.000000000,Thomaspayne1776
0 days 00:07:43.000000000,WillMelton2
0 days 00:07:43.000000000,allthingssoft1
0 days 00:07:45.000000000,terry7531
0 days 00:07:46.000000000,netcynergy
0 days 00:07:47.000000000,Grant503
0 days 00:07:49.000000000,klaliberte1121
0 days 00:07:50.000000000,missy_12080
0 days 00:07:51.000000000,gabbicarpinella
0 days 00:07:51.000000000,mariwilliams007
0 days 00:07:54.000000000,A_Addams_
0 days 00:07:54.000000000,MODIfyIndia
0 days 00:07:54.000000000,2schmidtykids
0 days 00:07:56.000000000,RichardEFlynn
0 days 00:07:58.000000000,AutumnNavy
0 days 00:07:59.000000000,annawallace75
0 days 00:08:00.000000000,jpdgeo
0 days 00:08:01.000000000,aumonterey
0 days 00:08:02.000000000,martucci_peter
0 days 00:08:03.000000000,ChristineCC14
0 days 00:08:05.000000000,kimbergirl29
0 days 00:08:09.000000000,LBB187
0 days 00:08:09.000000000,DillTrill_
0 days 00:08:11.000000000,Theresa46260141
0 days 00:08:15.000000000,D_Diesel1982
0 days 00:08:17.000000000,serentiyalwyz
0 days 00:08:17.000000000,PollyHolt
0 days 00:08:18.000000000,1959JOL
0 days 00:08:18.000000000,CalCreole
0 days 00:08:20.000000000,DirtyMouseBalls
0 days 00:08:20.000000000,cstar21
0 days 00:08:22.000000000,61Rinaldi
0 days 00:08:22.000000000,DeathsHead725
0 days 00:08:24.000000000,Brian_Orrick
0 days 00:08:25.000000000,acrowotdude
0 days 00:08:26.000000000,ItsEvelyn_G
0 days 00:08:26.000000000,LisaLoni14
0 days 00:08:31.000000000,Tinindian74
0 days 00:08:32.000000000,edinssister
0 days 00:08:34.000000000,tryn2rest
0 days 00:08:36.000000000,BigBonedJim
0 days 00:08:32.000000000,edinssister
0 days 00:08:40.000000000,JackBauer3911
0 days 00:08:40.000000000,imhearin_whos
0 days 00:08:43.000000000,KubiOgisi
0 days 00:08:46.000000000,phchbtc
0 days 00:08:49.000000000,fluffyboy69
0 days 00:08:49.000000000,brobhayes
0 days 00:08:51.000000000,Kurt_P
0 days 00:08:51.000000000,chelsey_sleigh
0 days 00:08:53.000000000,Dustin88P
0 days 00:08:55.000000000,SarahKiwo
0 days 00:08:56.000000000,sloanemackenzie
0 days 00:08:57.000000000,Lane26kmp2205
0 days 00:08:58.000000000,HopeZobinou1
0 days 00:09:00.000000000,h7t
0 days 00:09:04.000000000,1AllHearingEar
0 days 00:09:05.000000000,cthetruthhurts
0 days 00:09:06.000000000,millerfrankj
0 days 00:09:07.000000000,creichenau
0 days 00:09:08.000000000,Magnetica444
0 days 00:09:09.000000000,1DdolanMelissa
0 days 00:09:11.000000000,101dumars
0 days 00:09:12.000000000,ddags21
0 days 00:09:12.000000000,GinaMalia424
0 days 00:09:10.000000000,mivento
0 days 00:09:13.000000000,alice_orlandi
0 days 00:09:14.000000000,cweid_2
0 days 00:09:14.000000000,mrj3184
0 days 00:09:14.000000000,PieForThree
0 days 00:09:17.000000000,Detrocker2264
0 days 00:09:17.000000000,publicdrunkard
0 days 00:09:18.000000000,Kell1Steve
0 days 00:09:19.000000000,Chanel5
0 days 00:09:20.000000000,ShellSchultzTx
0 days 00:09:20.000000000,AnitaNewPres
0 days 00:09:23.000000000,_mikigc23
0 days 00:09:24.000000000,DamselDiscount
0 days 00:09:24.000000000,lkstewart8716
0 days 00:09:25.000000000,ruliemaulana
0 days 00:09:27.000000000,FranziniExchang
0 days 00:09:33.000000000,daskohlensaure
0 days 00:09:34.000000000,TaxcareOrlando
0 days 00:09:36.000000000,DeDeSizzling
0 days 00:09:37.000000000,USAChick1777
0 days 00:09:38.000000000,millennialmush
0 days 00:09:43.000000000,lz398
0 days 00:09:43.000000000,thTeej
0 days 00:09:44.000000000,skybro01
0 days 00:09:44.000000000,celtic_mist
0 days 00:09:45.000000000,Ruby_Proudfoot
0 days 00:09:49.000000000,ThomasR95286006
0 days 00:09:49.000000000,_COLINRIMKEY_
0 days 00:09:50.000000000,MYtruthMYtweet
0 days 00:09:52.000000000,LoriLandRich
0 days 00:09:52.000000000,SherryLynSmith1
0 days 00:09:55.000000000,camillendavis1
0 days 00:09:56.000000000,GrantLeedham
0 days 00:10:00.000000000,Derkngoogly2
0 days 00:10:00.000000000,JoeyFiletto
0 days 00:10:06.000000000,franco_emp
0 days 00:10:07.000000000,darrrenscottt
0 days 00:10:08.000000000,DeplorableMe88
0 days 00:10:08.000000000,d33ness72
0 days 00:10:10.000000000,PRODSOLS
0 days 00:10:11.000000000,LombardRandy
0 days 00:10:13.000000000,Wmunro1
0 days 00:10:16.000000000,Ddonfon
0 days 00:10:16.000000000,lolaglezlun
0 days 00:10:17.000000000,val_riggs
0 days 00:10:17.000000000,News__La
0 days 00:10:19.000000000,carywithlive
0 days 00:10:22.000000000,DharmaBum77
0 days 00:10:22.000000000,OHpeachyy
0 days 00:10:23.000000000,itwillbe
0 days 00:10:23.000000000,truthismaster
0 days 00:10:24.000000000,rashidabrown88
0 days 00:10:25.000000000,campbellconway8
0 days 00:10:25.000000000,BFG11K
0 days 00:10:27.000000000,RickDoyle
0 days 00:10:27.000000000,easley_scott
0 days 00:10:30.000000000,Jen1333
0 days 00:10:31.000000000,lisam02184
0 days 00:10:34.000000000,herblady0519
0 days 00:10:34.000000000,grannygethealth
0 days 00:10:36.000000000,chemchix99cents
0 days 00:10:36.000000000,Brendajanessa_
0 days 00:10:38.000000000,Ajax2847
0 days 00:10:39.000000000,rev_b_wayne
0 days 00:10:40.000000000,chrizzy100
0 days 00:10:41.000000000,1975rcfarms
0 days 00:10:43.000000000,dananaby
0 days 00:10:45.000000000,jiagher
0 days 00:10:45.000000000,Lstoud1
0 days 00:10:46.000000000,SHA1165
0 days 00:10:47.000000000,teacherstuff54
0 days 00:10:50.000000000,WooHooYoo
0 days 00:10:54.000000000,Lawaholic4trump
0 days 00:10:55.000000000,iamjoaquin2
0 days 00:10:55.000000000,soledu2014
0 days 00:10:57.000000000,TerenceRadford
0 days 00:10:58.000000000,unfairpolitics
0 days 00:10:59.000000000,AshaRoppah
0 days 00:11:04.000000000,TruthDiddy
0 days 00:11:04.000000000,reda2448
0 days 00:11:09.000000000,JoelLT7
0 days 00:11:10.000000000,TammyDAnderson
0 days 00:11:10.000000000,EddiePrause
0 days 00:11:11.000000000,Jennosal
0 days 00:11:12.000000000,JuanNacional89
0 days 00:11:13.000000000,GhostWritingUSA
0 days 00:11:15.000000000,angelswrath117
0 days 00:11:16.000000000,2oldCrabs
0 days 00:11:16.000000000,AdamJoshDotCom
0 days 00:11:17.000000000,JGS_II
0 days 00:11:17.000000000,ButerasThief
0 days 00:11:18.000000000,FilthyDegen
0 days 00:11:19.000000000,vollste
0 days 00:11:19.000000000,JeanneBerry13
0 days 00:11:21.000000000,Brandon09916339
0 days 00:11:22.000000000,Indians4Trump
0 days 00:11:24.000000000,cinnamon_76
0 days 00:11:24.000000000,JoshNbluegrass
0 days 00:11:25.000000000,CathyMAGA
0 days 00:11:26.000000000,gabriel_gabdiel
0 days 00:11:26.000000000,cwrusso1
0 days 00:11:27.000000000,PugOnTheRight
0 days 00:11:27.000000000,tyson_burris
0 days 00:11:28.000000000,joepeppersaid
0 days 00:11:28.000000000,lavenderv88
0 days 00:11:30.000000000,USAF_EVA
0 days 00:11:30.000000000,irichmillion
0 days 00:11:32.000000000,StoptheBullUSA
