,Time Difference,user.screen_name
3709,0 days 00:09:37.000000000,MegaSBlacksnow
3713,0 days 00:09:38.000000000,AtSIDolphin
3725,0 days 00:09:42.000000000,Lenny_Alvarez
3729,0 days 00:09:43.000000000,MarioZaizar
3749,0 days 00:09:48.000000000,FrederikHaven
3774,0 days 00:09:53.000000000,trashcandan31
3782,0 days 00:09:55.000000000,Bigdeziel_80
3790,0 days 00:09:58.000000000,c_donohue
3796,0 days 00:09:58.000000000,roseline12e
3807,0 days 00:10:00.000000000,wangdenpsherpa
3815,0 days 00:10:03.000000000,PhilianYT
3831,0 days 00:10:08.000000000,JMendozaaaa
3833,0 days 00:10:08.000000000,jcampbell1497
3841,0 days 00:10:10.000000000,AdamBeedle
3855,0 days 00:10:13.000000000,CostinDiaconu98
3857,0 days 00:10:13.000000000,DivergentWind
3864,0 days 00:10:16.000000000,alejo_nestor
3876,0 days 00:10:18.000000000,GundelSebastian
3880,0 days 00:10:19.000000000,kakasandeep
3892,0 days 00:10:23.000000000,GreenlineMX
3895,0 days 00:10:25.000000000,i_evtushenko
3927,0 days 00:10:35.000000000,mcater10
3929,0 days 00:10:35.000000000,j_mattorano
3960,0 days 00:10:42.000000000,Eslamsheikh
3962,0 days 00:10:44.000000000,BruceFrieske
3979,0 days 00:10:47.000000000,jb74732
4019,0 days 00:10:56.000000000,_Ben_Newton_
4035,0 days 00:11:00.000000000,nwarm610
4054,0 days 00:11:06.000000000,yangyilei
4056,0 days 00:11:07.000000000,reel_abides
4065,0 days 00:11:09.000000000,DoMayYT
4069,0 days 00:11:09.000000000,aadvaith
4078,0 days 00:11:11.000000000,that_guy2807
4081,0 days 00:11:12.000000000,gabo042
4090,0 days 00:11:15.000000000,clashiescolony
4092,0 days 00:11:15.000000000,HectorL121013
4096,0 days 00:11:16.000000000,DiriHk
4104,0 days 00:11:19.000000000,Hernan___jb
4113,0 days 00:11:20.000000000,begoneogre
4115,0 days 00:11:21.000000000,M0HAMMED_Rasoul
4118,0 days 00:11:21.000000000,Matej_Tadic_
4119,0 days 00:11:21.000000000,AbrahamCasta
4129,0 days 00:11:24.000000000,mikeump45
4132,0 days 00:11:25.000000000,stysdjs
4139,0 days 00:11:27.000000000,arionpallas
4148,0 days 00:11:29.000000000,uiop_qwertz
4166,0 days 00:11:35.000000000,cavaiu
4169,0 days 00:11:35.000000000,Rodrigo930HBES
4175,0 days 00:11:37.000000000,Fich1979
4177,0 days 00:11:37.000000000,DoniWeber
4178,0 days 00:11:37.000000000,MuttenXd
4184,0 days 00:11:40.000000000,FabioMasc
4187,0 days 00:11:41.000000000,mihaiescu01
4199,0 days 00:11:44.000000000,navaneethmadan
4212,0 days 00:11:49.000000000,OneSmithtoomany
4234,0 days 00:11:57.000000000,jedlinski01
4235,0 days 00:11:57.000000000,Benchkvetcher
4241,0 days 00:12:00.000000000,jackwdavies5
4255,0 days 00:12:06.000000000,ChaosConduit
4259,0 days 00:12:07.000000000,JbDziecielski
4315,0 days 00:12:24.000000000,JoshCraftRacing
4316,0 days 00:12:25.000000000,GiantWilly
4332,0 days 00:12:29.000000000,dani0600
4335,0 days 00:12:29.000000000,theTurnerI
4337,0 days 00:12:30.000000000,drdude83
4345,0 days 00:12:34.000000000,Tejaver97
4364,0 days 00:12:39.000000000,cumulus_42
4396,0 days 00:12:48.000000000,shiv556
4400,0 days 00:12:49.000000000,_vinaygarg
4425,0 days 00:12:58.000000000,LeventeMagyar
4431,0 days 00:13:00.000000000,Chynah_whyte123
4433,0 days 00:13:01.000000000,KFP715
4434,0 days 00:12:52.000000000,genis09
4436,0 days 00:13:02.000000000,HorstWave
4453,0 days 00:13:09.000000000,NardsTV
4471,0 days 00:13:13.000000000,Sh4dow5oul
4481,0 days 00:13:03.000000000,unluisco
4483,0 days 00:13:04.000000000,rishabhksharma
4489,0 days 00:13:16.000000000,Vilius78609969
4510,0 days 00:13:23.000000000,lussofox
4512,0 days 00:13:19.000000000,anuraggandhi1
4513,0 days 00:13:24.000000000,ErjavecRok
4519,0 days 00:13:26.000000000,ValorXZ7
4533,0 days 00:13:15.000000000,MrGentleman210
4553,0 days 00:13:37.000000000,ich_net_du
