Time Difference,user.screen_name,Column1
0 days 04:13:57.000000000,Denise7Berry,4
0 days 01:14:30.000000000,Denise7Berry,4
0 days 08:44:09.000000000,Denise7Berry,4
0 days 01:17:57.000000000,djh0002002,4
0 days 01:16:39.000000000,djh0002002,4
0 days 00:35:32.000000000,djh0002002,4
0 days 01:17:57.000000000,djh0002002,4
0 days 01:35:59.000000000,drSaini1988,4
0 days 00:27:22.000000000,drSaini1988,4
0 days 00:13:41.000000000,drSaini1988,4
0 days 01:35:59.000000000,drSaini1988,4
0 days 06:27:26.000000000,ealbertson98,4
0 days 06:27:26.000000000,ealbertson98,4
0 days 06:27:26.000000000,ealbertson98,4
0 days 06:27:26.000000000,ealbertson98,4
0 days 03:33:35.000000000,EdEddieknowles2,4
0 days 02:05:50.000000000,EdEddieknowles2,4
0 days 00:06:57.000000000,EdEddieknowles2,4
0 days 03:33:35.000000000,EdEddieknowles2,4
0 days 00:08:32.000000000,edinssister,4
0 days 00:08:32.000000000,edinssister,4
0 days 00:08:32.000000000,edinssister,4
0 days 00:08:32.000000000,edinssister,4
0 days 01:28:50.000000000,ehphi55,4
0 days 00:06:40.000000000,ehphi55,4
0 days 05:17:55.000000000,ehphi55,4
0 days 00:33:58.000000000,ehphi55,4
0 days 02:01:26.000000000,garthkirkwood,4
0 days 01:12:19.000000000,garthkirkwood,4
0 days 00:44:18.000000000,garthkirkwood,4
0 days 02:01:26.000000000,garthkirkwood,4
0 days 00:38:01.000000000,GigiLs88,4
0 days 00:03:50.000000000,GigiLs88,4
0 days 01:53:33.000000000,GigiLs88,4
0 days 00:38:01.000000000,GigiLs88,4
0 days 00:13:48.000000000,GracefulAmerica,4
0 days 05:27:42.000000000,GracefulAmerica,4
0 days 01:28:45.000000000,GracefulAmerica,4
0 days 00:13:48.000000000,GracefulAmerica,4
0 days 01:55:24.000000000,GrandOldNews,4
0 days 00:45:30.000000000,GrandOldNews,4
0 days 00:23:43.000000000,GrandOldNews,4
0 days 01:55:24.000000000,GrandOldNews,4
0 days 00:32:55.000000000,granma726,4
0 days 04:39:32.000000000,granma726,4
0 days 00:38:56.000000000,granma726,4
0 days 00:32:55.000000000,granma726,4
0 days 00:07:02.000000000,Grant503,4
0 days 00:07:47.000000000,Grant503,4
0 days 00:07:02.000000000,Grant503,4
0 days 00:07:47.000000000,Grant503,4
0 days 00:31:46.000000000,graydaygamer,4
0 days 00:28:56.000000000,graydaygamer,4
0 days 00:19:01.000000000,graydaygamer,4
0 days 00:31:46.000000000,graydaygamer,4
0 days 00:39:00.000000000,HarryAnd7171,4
0 days 02:00:10.000000000,HarryAnd7171,4
0 days 04:31:17.000000000,HarryAnd7171,4
0 days 00:13:44.000000000,HarryAnd7171,4
0 days 01:14:08.000000000,HonestlyTrump,4
0 days 00:13:13.000000000,HonestlyTrump,4
0 days 00:21:49.000000000,HonestlyTrump,4
0 days 01:14:08.000000000,HonestlyTrump,4
0 days 00:10:27.000000000,IrishSix1,4
0 days 00:42:13.000000000,IrishSix1,4
0 days 00:29:18.000000000,IrishSix1,4
0 days 03:32:47.000000000,IrishSix1,4
0 days 01:10:11.000000000,J3isMe,4
0 days 05:28:21.000000000,J3isMe,4
0 days 01:13:12.000000000,J3isMe,4
0 days 01:10:11.000000000,J3isMe,4
0 days 04:48:47.000000000,jaded5643,4
0 days 00:09:09.000000000,jaded5643,4
0 days 00:59:18.000000000,jaded5643,4
0 days 04:48:47.000000000,jaded5643,4
0 days 01:24:50.000000000,JamesRBeaty,4
0 days 00:05:52.000000000,JamesRBeaty,4
0 days 00:08:22.000000000,JamesRBeaty,4
0 days 00:17:01.000000000,JamesRBeaty,4
0 days 01:31:14.000000000,JamesWHicks,4
0 days 00:18:40.000000000,JamesWHicks,4
0 days 00:01:17.000000000,JamesWHicks,4
0 days 01:31:14.000000000,JamesWHicks,4
0 days 03:19:17.000000000,Jamierodr10,4
0 days 04:16:24.000000000,Jamierodr10,4
0 days 00:05:13.000000000,Jamierodr10,4
0 days 00:50:29.000000000,Jamierodr10,4
0 days 00:38:49.000000000,JaneMorren,4
0 days 01:31:13.000000000,JaneMorren,4
0 days 00:42:27.000000000,JaneMorren,4
0 days 00:38:49.000000000,JaneMorren,4
0 days 00:20:07.000000000,Jellybean4Trump,4
0 days 00:01:35.000000000,Jellybean4Trump,4
0 days 01:37:56.000000000,Jellybean4Trump,4
0 days 00:20:07.000000000,Jellybean4Trump,4
0 days 02:37:46.000000000,Jennife51072808,4
0 days 00:24:13.000000000,Jennife51072808,4
0 days 03:19:58.000000000,Jennife51072808,4
0 days 02:37:46.000000000,Jennife51072808,4
0 days 01:28:55.000000000,jennsright,4
0 days 00:22:00.000000000,jennsright,4
0 days 04:13:32.000000000,jennsright,4
0 days 01:28:55.000000000,jennsright,4
0 days 05:52:49.000000000,jennwalker90,4
0 days 04:24:21.000000000,jennwalker90,4
0 days 01:04:19.000000000,jennwalker90,4
0 days 05:52:49.000000000,jennwalker90,4
0 days 03:43:44.000000000,Jim_Peoples_,4
0 days 05:33:57.000000000,Jim_Peoples_,4
0 days 05:31:11.000000000,Jim_Peoples_,4
0 days 03:43:44.000000000,Jim_Peoples_,4
0 days 00:11:09.000000000,JoelLT7,4
0 days 03:00:39.000000000,JoelLT7,4
0 days 00:13:47.000000000,JoelLT7,4
0 days 00:11:09.000000000,JoelLT7,4
0 days 05:08:33.000000000,johnmknox,4
0 days 03:22:50.000000000,johnmknox,4
0 days 00:28:10.000000000,johnmknox,4
0 days 05:08:33.000000000,johnmknox,4
0 days 08:22:53.000000000,JudeSkillz,4
0 days 02:06:34.000000000,JudeSkillz,4
0 days 01:25:40.000000000,JudeSkillz,4
0 days 08:22:53.000000000,JudeSkillz,4
0 days 00:41:02.000000000,jukubi513,4
0 days 05:12:11.000000000,jukubi513,4
0 days 03:54:48.000000000,jukubi513,4
0 days 00:41:02.000000000,jukubi513,4
0 days 00:28:04.000000000,katzkab11,4
0 days 02:44:13.000000000,katzkab11,4
0 days 02:57:47.000000000,katzkab11,4
0 days 01:21:28.000000000,katzkab11,4
0 days 02:35:37.000000000,KdredKarl,4
0 days 00:39:00.000000000,KdredKarl,4
0 days 03:34:38.000000000,KdredKarl,4
0 days 02:35:37.000000000,KdredKarl,4
0 days 00:42:53.000000000,lainieks,4
0 days 04:47:40.000000000,lainieks,4
0 days 01:42:45.000000000,lainieks,4
0 days 02:06:27.000000000,lainieks,4
0 days 06:05:03.000000000,lawgunmon,4
0 days 01:22:21.000000000,lawgunmon,4
0 days 01:17:44.000000000,lawgunmon,4
0 days 06:05:03.000000000,lawgunmon,4
0 days 00:30:40.000000000,leeshelby7,4
0 days 00:30:59.000000000,leeshelby7,4
0 days 00:30:40.000000000,leeshelby7,4
0 days 00:30:59.000000000,leeshelby7,4
0 days 01:34:41.000000000,Lily42065536,4
0 days 00:38:59.000000000,Lily42065536,4
0 days 00:26:07.000000000,Lily42065536,4
0 days 01:34:41.000000000,Lily42065536,4
0 days 01:15:48.000000000,llbrantley,4
0 days 03:22:30.000000000,llbrantley,4
0 days 00:12:46.000000000,llbrantley,4
0 days 01:15:48.000000000,llbrantley,4
0 days 00:01:34.000000000,logandmar,4
0 days 04:40:10.000000000,logandmar,4
0 days 00:59:57.000000000,logandmar,4
0 days 00:01:34.000000000,logandmar,4
0 days 06:06:11.000000000,lordredrock,4
0 days 01:25:42.000000000,lordredrock,4
0 days 00:17:58.000000000,lordredrock,4
0 days 06:06:11.000000000,lordredrock,4
0 days 00:02:34.000000000,Lorie60397909,4
0 days 00:00:54.000000000,Lorie60397909,4
0 days 01:31:51.000000000,Lorie60397909,4
0 days 01:58:54.000000000,Lorie60397909,4
0 days 04:05:00.000000000,Losgarambullos,4
0 days 05:22:01.000000000,Losgarambullos,4
0 days 04:15:52.000000000,Losgarambullos,4
0 days 04:05:00.000000000,Losgarambullos,4
0 days 05:17:33.000000000,luvUSA_,4
0 days 00:36:13.000000000,luvUSA_,4
0 days 00:57:08.000000000,luvUSA_,4
0 days 05:17:33.000000000,luvUSA_,4
0 days 01:30:52.000000000,MazurekPaul,4
0 days 00:30:11.000000000,MazurekPaul,4
0 days 01:50:35.000000000,MazurekPaul,4
0 days 01:30:52.000000000,MazurekPaul,4
0 days 04:00:09.000000000,mcwhirter81,4
0 days 00:12:41.000000000,mcwhirter81,4
0 days 00:05:23.000000000,mcwhirter81,4
0 days 04:00:09.000000000,mcwhirter81,4
0 days 00:58:49.000000000,mellyblue1234,4
0 days 00:31:26.000000000,mellyblue1234,4
0 days 00:37:33.000000000,mellyblue1234,4
0 days 00:58:49.000000000,mellyblue1234,4
0 days 00:57:00.000000000,MKirsipuu,4
0 days 00:09:40.000000000,MKirsipuu,4
0 days 00:08:03.000000000,MKirsipuu,4
0 days 00:57:00.000000000,MKirsipuu,4
0 days 00:13:48.000000000,MT6200elev,4
0 days 00:10:17.000000000,MT6200elev,4
0 days 00:11:24.000000000,MT6200elev,4
0 days 00:17:22.000000000,MT6200elev,4
0 days 01:26:28.000000000,myrealtwitteer,4
0 days 05:00:40.000000000,myrealtwitteer,4
0 days 01:47:49.000000000,myrealtwitteer,4
0 days 01:26:28.000000000,myrealtwitteer,4
0 days 02:10:55.000000000,normallife2016,4
0 days 00:01:04.000000000,normallife2016,4
0 days 02:12:50.000000000,normallife2016,4
0 days 02:10:55.000000000,normallife2016,4
0 days 01:36:03.000000000,paoegilles,4
0 days 02:43:01.000000000,paoegilles,4
0 days 02:11:06.000000000,paoegilles,4
0 days 01:36:03.000000000,paoegilles,4
