Time Difference,user.screen_name
0 days 00:33:33.000000000,T_ham15
0 days 00:34:24.000000000,cromito23
0 days 00:34:49.000000000,markleggett87
0 days 00:34:59.000000000,maewest111
0 days 00:35:15.000000000,tbone3106
0 days 00:35:24.000000000,thecharlesdietz
0 days 00:35:44.000000000,graves_tt
0 days 00:35:44.000000000,marioxantonelli
0 days 00:35:55.000000000,TCalvv
0 days 00:36:00.000000000,tjkasp15
0 days 00:36:38.000000000,pfroghast_pat
0 days 00:36:58.000000000,imqualifying
0 days 00:37:02.000000000,The_Hammer73
0 days 00:37:07.000000000,Samuel_Nutley8
0 days 00:37:12.000000000,theatrigal
0 days 00:37:16.000000000,czarnik
0 days 00:37:38.000000000,JMANJMAN55
0 days 00:37:57.000000000,THErealK_creep
0 days 00:37:57.000000000,BrettATC
0 days 00:38:05.000000000,Original_Killza
0 days 00:38:07.000000000,taylorpresley
0 days 00:38:09.000000000,gottobe2
0 days 00:38:18.000000000,braden720
0 days 00:38:22.000000000,tvolsfan92
0 days 00:38:32.000000000,The_Real_MRT
0 days 00:38:48.000000000,Coach_Melling28
0 days 00:38:48.000000000,hallrk63
0 days 00:39:05.000000000,Bmc_6_31
